name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
DeCharme apartment with terrace in Monti,9.3,9.7,9.8,9.3,0,9.3,0,0,1,9.4,0,0,9.4,1,0,0,0,1,Rome,1,2
La Rosa del Vaticano Luxury Apartment,9.0,9.8,8.7,8.7,0,8.4,0,0,1,8.8,1,0,8.2,0,0,0,0,0,Rome,1,1
Rome Veniero WelcomeHouse,9.0,9.7,9.6,9.4,0,9.1,0,0,1,9.3,0,0,9.6,0,0,0,0,0,Rome,0,1
Colosseo Smart Flat,8.9,9.7,8.8,9.2,0,8.9,0,0,1,8.8,0,0,9.0,0,0,0,0,0,Rome,0,1
Casa Vacanza Vahid,9.0,9.6,8.9,9.7,0,8.9,0,0,1,8.9,0,0,9.4,0,0,0,0,1,Rome,1,1
Ben's Houses - Trastevere apartment,9.1,9.4,9.2,9.2,0,8.9,0,0,1,9.0,0,0,9.3,0,0,0,0,0,Rome,0,1
DOLCI SOGNI ROMANI SENZA SCALE O BARRIERE,9.2,9.5,9.1,9.5,0,9.2,0,1,1,9.4,1,0,8.9,0,0,1,1,1,Rome,3,3
Enjoy your stay - Navona Square Apt,9.6,10.0,10.0,10.0,0,9.8,0,0,1,10.0,0,1,9.8,0,0,0,0,1,Rome,2,1
The View Trastevere,9.5,8.8,8.8,10.0,0,10.0,0,0,1,8.8,0,1,8.8,0,0,0,0,0,Rome,1,1
"Trastevere house with balcony,quiet NEW",9.4,10.0,9.7,10.0,0,10.0,0,0,1,9.4,0,0,10.0,0,0,0,0,0,Rome,0,1
LU.NI. Guesthouse Roma,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,Rome,0,1
Casa Trasteverina,7.7,9.4,7.7,7.8,0,7.2,0,0,1,8.4,0,0,7.7,0,0,0,0,0,Rome,0,1
4BNB - Luxury Mazzini Apartment,9.1,8.9,9.0,9.2,0,8.9,0,0,1,9.4,0,0,9.0,0,0,0,0,0,Rome,0,1
Adorable nest near Piazza Del Popolo Alloggio Turistico - CIR 14296,8.5,9.2,8.6,8.8,0,8.5,0,0,1,8.4,0,0,8.5,0,0,0,0,0,Rome,0,1
St. Peter penthouse,9.7,9.6,9.8,9.8,0,9.9,1,1,1,9.4,1,0,10.0,0,0,1,0,1,Rome,4,2
Un Tetto al Pantheon,9.5,10.0,9.3,9.6,0,9.2,0,1,1,9.2,0,0,9.4,1,0,0,0,1,Rome,2,2
Appartamento San Pietro 3 camere e bagno in camera,8.5,10.0,8.8,7.5,0,8.8,0,0,1,8.8,0,1,8.8,0,0,0,0,0,Rome,1,1
Campo Penthouse,7.5,9.5,7.9,8.4,0,7.5,0,0,1,7.4,1,0,7.8,1,0,1,0,0,Rome,1,3
Rhome Merulana,9.8,9.8,9.8,10.0,0,9.6,0,0,1,9.6,0,0,9.8,0,0,0,0,1,Rome,1,1
Martino Delightful Apartment,8.6,7.8,8.4,8.9,0,8.5,0,1,1,8.6,0,0,8.7,0,0,0,0,0,Rome,1,1
Rome as you feel - Vetrina Terrace,7.0,9.2,5.0,6.7,0,5.0,0,0,1,5.8,0,0,6.7,0,0,0,0,0,Rome,0,1
Tetti di Piazza Navona,7.7,9.6,7.5,8.3,0,6.7,0,1,1,7.5,1,0,7.9,0,0,1,0,0,Rome,2,2
Suites in Rome 2,8.4,9.4,8.2,9.0,0,8.2,0,0,1,8.8,0,1,8.7,0,0,1,0,0,Rome,1,2
Matilde Modern apartment-Rental in Rome,8.9,8.4,9.1,8.8,0,8.9,0,0,1,8.8,0,0,9.3,0,0,0,0,0,Rome,0,1
Colosseum Stylish Apartment,9.0,9.5,8.3,9.3,0,9.0,0,0,1,9.0,1,0,8.5,0,0,0,0,0,Rome,1,1
Trastevere Charming Loft,9.0,9.6,9.4,9.8,0,9.1,0,0,1,9.5,0,0,9.0,1,0,0,0,0,Rome,0,2
MM Cipro Apartment with Balcony,8.6,9.6,8.8,9.6,0,8.4,0,0,1,8.8,1,0,8.9,0,0,0,0,0,Rome,1,1
Well Done Montebello,9.0,9.4,9.0,9.0,0,8.8,0,0,1,9.0,0,1,9.1,1,0,0,0,1,Rome,2,2
The Brunetti - Luxury serviced apartment,9.6,10.0,9.7,10.0,0,9.4,0,0,1,9.4,1,0,9.6,0,0,0,0,1,Rome,2,1
Hotel Millerose,8.0,9.1,8.0,9.1,0,7.6,0,0,1,8.1,0,0,8.2,0,0,0,0,0,Rome,0,1
Top Floor Colosseo Guesthouse,9.5,9.8,9.7,9.9,0,9.4,0,1,1,9.6,1,0,9.7,1,0,0,0,1,Rome,3,2
Navona Bernini Lodge,8.2,9.9,8.6,8.4,0,8.1,0,1,1,8.4,0,0,8.4,0,0,0,0,0,Rome,1,1
Diamond Apartments,7.8,8.1,7.9,8.7,0,8.0,0,0,1,8.1,1,0,8.1,0,0,0,0,0,Rome,1,1
Apartment Colosseo,8.5,9.3,8.5,9.4,0,8.2,0,0,1,8.8,0,0,8.5,0,0,0,0,0,Rome,0,1
Hotel Hiberia,8.6,9.7,8.7,9.5,0,8.3,0,1,1,8.9,0,0,8.8,0,0,1,0,1,Rome,2,2
Ottaviano Smart Rooms,8.2,9.5,8.4,7.9,0,8.1,0,0,1,7.8,0,0,8.6,0,0,0,0,1,Rome,1,1
Rhoome Holiday,8.6,9.2,9.0,9.0,1,8.5,0,0,1,8.4,0,0,8.7,1,0,0,0,1,Rome,1,3
Casa Santarelli,9.0,9.0,9.0,9.6,0,8.8,1,0,1,9.1,0,0,8.8,0,0,1,0,0,Rome,1,2
