name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
Zedwell Piccadilly Circus,7.6,9.6,8.2,8.2,0,7.4,0,0,1,7.8,0,1,8.2,0,0,0,0,0,London,1,1
Yotel London Shoreditch,7.7,8.5,8.1,8.6,1,7.9,0,1,1,7.5,0,1,8.2,0,0,0,1,1,London,3,3
Middle Eight - Preferred Hotels and Resorts,8.9,9.6,9.5,9.2,0,9.2,0,1,1,8.3,1,1,9.4,0,0,1,1,1,London,4,3
The Guardsman - Preferred Hotels and Resorts,8.9,9.4,9.5,9.3,0,9.1,0,1,1,8.4,1,1,9.4,0,0,1,1,1,London,4,3
The Montague On The Gardens,9.1,9.6,9.4,9.7,0,9.0,0,1,1,8.4,1,1,9.4,1,0,1,0,1,London,4,3
Egerton House,9.3,9.7,9.7,9.8,0,9.2,1,1,1,8.7,1,1,9.6,1,0,1,0,1,London,5,3
The Chesterfield Mayfair,8.9,9.7,9.3,9.6,0,8.9,0,1,1,8.5,1,1,9.3,1,0,1,0,1,London,4,3
citizenM London Victoria Station,8.8,9.5,9.2,9.4,1,9.0,0,1,1,8.2,0,1,9.3,0,0,0,1,1,London,3,3
Leonardo Royal London St Paul’s,8.4,9.3,8.9,8.8,1,8.7,1,1,1,7.9,1,1,8.8,0,1,0,0,1,London,6,2
Marlin Waterloo,7.9,9.2,8.2,8.3,0,8.0,0,1,1,7.6,1,1,8.1,0,0,0,1,0,London,3,2
NYX Hotel London Holborn by Leonardo Hotels,8.4,9.3,8.9,8.6,1,8.7,1,1,1,8.0,0,1,8.9,0,1,0,1,1,London,5,3
Clayton Hotel City of London,8.7,9.0,9.1,9.1,1,8.8,0,1,1,8.4,0,1,9.1,0,0,0,0,1,London,3,2
citizenM London Bankside,8.6,9.2,9.0,9.4,0,8.8,1,1,1,8.3,0,1,9.1,0,0,0,1,1,London,4,2
"The Hoxton, Holborn",8.5,9.5,9.0,9.1,0,8.6,0,1,1,8.0,1,1,8.9,0,0,1,0,1,London,4,2
"Montcalm East, Autograph Collection",8.6,8.9,9.1,8.9,1,8.9,1,1,1,8.1,0,1,9.1,0,1,0,1,0,London,4,3
Belsize Park Boutique Accommodation,8.2,9.3,8.3,8.7,0,8.2,0,0,1,8.5,0,0,8.4,0,0,0,0,1,London,1,1
W London,8.6,9.5,9.2,9.3,1,8.8,0,1,1,8.0,0,1,9.1,0,1,1,0,1,London,4,3
ME London by Melia,8.6,9.5,9.1,8.9,1,8.8,1,1,1,7.9,1,1,9.1,1,0,1,0,1,London,5,4
Copthorne Tara Hotel London Kensington,6.8,8.7,7.4,7.7,1,6.9,0,1,1,7.2,1,1,7.4,0,0,0,1,1,London,4,3
The Londoner,9.0,9.6,9.5,9.2,0,9.4,1,1,1,8.2,1,1,9.4,0,1,0,1,1,London,6,2
Nobu Hotel London Shoreditch,8.4,8.6,9.1,9.1,0,8.7,0,1,1,7.8,0,1,9.1,0,0,1,1,0,London,2,3
London Marriott Hotel Regents Park,8.2,8.4,8.8,8.7,1,8.5,1,1,1,7.7,1,1,8.7,0,1,0,1,1,London,6,3
Milestone Hotel Kensington,9.4,9.6,9.7,9.8,0,9.2,1,1,1,8.7,1,1,9.7,1,1,1,0,1,London,6,3
citizenM London Shoreditch,8.8,9.3,9.1,9.4,1,8.9,0,1,1,8.4,0,1,9.2,0,0,0,1,1,London,3,3
Crashpads Shoreditch Brick Lane Mini Lofts,8.9,9.3,9.3,9.2,0,9.3,0,0,1,8.9,0,0,9.5,0,0,0,0,0,London,0,1
Mirabilis Apartments - Bayham Place,9.3,9.2,9.6,9.5,1,9.5,0,0,1,8.9,0,1,9.6,0,0,0,0,0,London,1,2
Nobu Hotel London Portman Square,8.5,9.4,9.3,9.0,0,8.8,1,1,1,7.8,0,1,9.2,1,0,1,1,1,London,4,4
The Piccadilly London West End,7.9,9.5,8.4,8.8,1,7.8,0,1,0,7.4,0,1,8.2,0,1,0,0,1,London,4,1
Luna And Simone Hotel,8.7,9.4,9.0,9.6,0,8.6,0,0,1,8.8,0,0,9.2,0,0,0,0,1,London,1,1
Arosfa Hotel London by Compass Hospitality,8.0,9.3,8.1,9.1,0,7.9,0,0,1,8.0,0,0,8.4,0,0,0,0,0,London,0,1
London Marriott Maida Vale,8.0,8.1,8.7,8.6,1,8.2,1,1,1,7.6,1,1,8.6,1,1,0,1,1,London,6,4
citizenM Tower of London,8.7,9.6,9.0,9.3,1,8.8,0,1,1,8.3,0,1,9.0,0,0,0,1,1,London,3,3
YOTEL London City,8.1,8.8,8.6,8.7,1,8.2,0,1,1,7.9,0,1,8.7,0,0,0,1,1,London,3,3
Montcalm Royal London House-City of London,8.3,8.9,8.8,8.9,1,8.5,1,1,1,7.9,0,1,8.8,0,1,0,0,1,London,5,2
"The Park Tower Knightsbridge, a Luxury Collection Hotel, London",7.4,9.4,7.8,7.9,1,7.5,0,1,1,6.6,1,1,7.8,0,0,0,0,1,London,4,2
London Marriott Hotel Park Lane,8.5,9.5,9.1,9.0,1,8.7,1,1,1,7.5,1,1,9.0,0,1,0,1,1,London,6,3
Parkwood Hotel,7.7,9.5,7.7,9.2,0,7.3,0,0,1,8.0,0,0,7.8,0,0,0,0,1,London,1,1
Washington Mayfair Hotel,6.8,9.1,7.6,7.9,0,6.9,0,1,1,6.3,0,1,7.4,0,0,0,0,1,London,3,1
Thistle Trafalgar Square,8.1,9.7,8.5,8.9,1,8.0,0,0,1,7.8,0,1,8.5,0,0,0,0,1,London,2,2
Thistle Piccadilly,8.3,9.7,8.8,9.0,1,8.1,0,0,1,8.0,1,1,8.6,0,0,0,0,1,London,3,2
The Mayfair Townhouse - an Iconic Luxury Hotels,8.6,9.7,9.2,9.2,0,8.7,0,1,1,7.9,0,1,9.1,0,0,1,1,1,London,3,3
The Gyle,8.4,9.2,9.0,9.1,0,8.4,0,1,1,8.0,0,0,9.0,0,0,1,0,1,London,2,2
Suffolk Lane by Blueprint Living,8.2,9.3,8.9,7.9,0,8.6,0,0,1,8.2,0,1,8.9,0,0,0,0,1,London,2,1
Ambassadors Bloomsbury,6.8,8.7,7.6,8.0,0,7.0,0,1,1,6.4,0,1,7.6,0,0,0,1,1,London,3,2
Dockers Inn,8.6,9.0,9.1,9.3,0,8.9,0,1,0,8.8,0,0,9.2,0,0,0,0,0,London,1,0
Alhambra Hotel,7.6,9.4,7.9,8.9,0,7.4,0,0,1,7.7,1,0,8.1,0,0,0,0,1,London,2,1
Gunmakers,8.5,9.3,9.1,9.5,0,8.5,0,1,1,8.3,0,1,9.0,0,0,0,0,1,London,3,1
"Radisson Blu Edwardian New Providence Wharf Hotel, London",8.8,8.2,9.3,9.1,1,9.0,0,1,1,8.4,1,1,9.3,0,1,0,1,1,London,5,3
Boutique Apartments,8.3,8.2,8.6,8.2,0,8.3,0,0,1,8.3,0,0,8.7,0,0,0,0,0,London,0,1
DoubleTree by Hilton London – Docklands Riverside,7.9,8.4,8.4,8.6,1,8.1,0,1,1,7.6,1,1,8.4,0,0,0,0,0,London,3,2
Hausd - Leicester Square,8.7,9.4,9.3,8.9,0,9.1,0,0,1,8.3,1,1,9.3,0,0,0,0,0,London,2,1
Royal Lancaster London,9.1,9.4,9.5,9.4,0,9.2,0,1,1,8.4,1,1,9.4,1,0,1,1,1,London,4,4
Best Western Buckingham Palace Rd,7.7,8.9,8.4,8.8,1,7.9,0,0,1,8.0,0,1,8.5,0,0,0,0,1,London,2,2
Hazlitt's,9.1,9.8,9.5,9.7,0,8.9,0,1,1,8.4,0,1,9.4,0,0,0,0,1,London,3,1
JW Marriott Grosvenor House London,8.2,9.3,8.7,8.6,1,8.4,0,1,0,7.4,1,1,8.7,0,0,0,1,1,London,4,2
The Resident Victoria,9.1,9.7,9.4,9.7,0,9.1,0,0,1,8.7,0,1,9.4,0,0,0,1,1,London,2,2
Regency Hotel Parkside,8.0,9.3,8.5,8.9,0,7.9,0,0,1,7.8,0,1,8.7,0,0,0,1,1,London,2,2
"Hotel Indigo London - Kensington, an IHG Hotel",8.2,9.3,8.5,8.9,1,8.3,0,1,1,8.0,0,1,8.6,0,0,1,0,1,London,3,3
Heart of Shoreditch,7.1,8.9,7.5,8.0,0,7.1,0,1,1,7.8,1,0,7.6,0,0,0,0,0,London,2,1
London Tower Bridge Apartments,9.0,9.5,9.3,9.7,0,9.1,0,0,1,8.6,1,1,9.2,0,0,0,0,0,London,2,1
Tavistock Hotel,7.0,8.7,7.3,8.1,1,6.7,0,1,0,6.7,1,0,7.5,0,0,0,0,0,London,2,1
The Laslett,8.8,9.5,9.3,9.4,0,8.9,0,1,1,8.1,0,1,9.2,0,0,0,0,1,London,3,1
Aparthotel Adagio London Stratford,8.9,9.3,9.3,9.0,1,9.2,0,0,1,8.7,1,1,9.3,0,0,1,1,1,London,3,4
The Resident Covent Garden,9.3,9.8,9.6,9.9,0,9.2,0,0,1,8.7,0,1,9.6,0,0,0,1,1,London,2,2
The Tommyfield Hotel,8.6,8.9,9.0,9.4,0,8.7,0,1,1,8.6,0,1,9.1,0,0,0,0,1,London,3,1
Royal National Hotel,6.6,8.4,7.2,7.9,1,6.8,0,1,0,6.6,1,0,7.3,0,0,0,0,1,London,3,1
Strand Palace Hotel,8.1,9.6,8.7,8.7,0,8.2,0,1,1,7.6,0,1,8.7,0,0,0,1,1,London,3,2
Americana Hotel,7.0,9.0,7.2,8.6,0,6.9,0,0,1,7.3,0,1,7.1,0,0,0,0,0,London,1,1
"Inhabit, Southwick Street",8.0,8.8,8.7,8.6,1,8.2,0,0,1,7.9,0,1,8.7,0,1,1,1,1,London,3,4
Vancouver Studios,8.8,9.5,8.9,9.6,1,8.8,0,1,1,8.8,0,1,9.0,1,0,0,0,1,London,3,3
"The Hoxton, Southwark",8.7,9.2,9.3,9.1,0,8.9,0,1,1,8.2,1,1,9.2,0,0,1,0,1,London,4,2
"The Westminster London, Curio Collection by Hilton",8.2,8.8,8.8,8.7,1,8.4,0,1,1,7.8,1,1,8.8,0,0,0,1,1,London,4,3
"Dorset Square Hotel, Firmdale Hotels",8.6,9.3,9.3,9.2,0,8.7,0,1,1,8.0,0,1,9.4,1,0,0,0,0,London,2,2
ibis Styles London Gloucester Road,7.9,9.4,8.2,8.9,1,7.9,0,1,0,8.1,0,1,8.3,0,0,0,0,1,London,3,1
Jesmond Hotel,8.4,9.5,8.5,9.4,0,8.1,0,0,1,8.7,0,0,8.7,0,0,0,0,0,London,0,1
Mimi's Hotel Soho,7.9,9.5,8.6,8.7,0,7.9,0,1,1,7.6,1,0,8.5,0,0,0,0,1,London,3,1
City Inn Russell Square,7.0,8.6,7.5,7.5,0,7.0,0,0,1,7.5,0,0,7.4,0,0,0,0,1,London,1,1
K+K Hotel George Kensington,8.4,9.2,8.6,9.0,1,8.4,0,1,0,8.1,1,1,8.6,0,0,1,0,1,London,4,2
The William IV,8.2,8.2,8.2,9.2,0,8.0,0,1,1,8.2,0,0,8.3,0,0,0,0,0,London,1,1
Park Plaza London Waterloo,8.1,8.9,8.4,8.5,1,8.3,1,1,1,7.6,1,1,8.4,0,1,0,0,1,London,6,2
Courtyard by Marriott London City Airport,8.5,8.4,9.2,8.8,1,8.8,0,1,1,8.3,0,1,9.2,0,0,0,1,1,London,3,3
Pullman London St Pancras,8.5,9.4,9.0,9.1,1,8.6,0,1,1,7.8,0,1,8.9,0,1,0,1,1,London,4,3
Fountain Hotel,7.3,7.5,7.6,8.4,0,7.4,0,1,1,7.9,1,0,7.7,0,0,0,0,0,London,2,1
Megaro Hotel,8.3,9.4,8.8,9.0,0,8.4,0,1,1,7.7,1,1,8.8,0,0,1,1,1,London,4,3
The Cavendish London,8.0,9.6,8.7,8.7,1,7.9,0,1,1,7.4,1,1,8.6,0,0,0,0,1,London,4,2
Crane Court by City2Stay,8.2,9.2,8.8,8.8,0,8.9,0,0,1,8.4,0,1,9.4,0,0,0,0,1,London,2,1
Rosewood London,9.0,9.2,9.5,9.4,1,9.1,1,1,1,8.2,1,1,9.5,1,0,1,1,1,London,5,5
The Bockery Suite 2 Chelsea,9.4,8.1,8.8,8.8,0,8.1,0,0,1,9.4,0,0,9.4,0,0,0,0,0,London,0,1
The Stratford Hotel London,8.5,9.1,9.3,8.9,0,8.8,0,1,1,8.1,0,1,9.3,1,0,1,1,1,London,3,4
The Dilly,7.2,9.6,7.9,8.0,0,7.2,1,1,1,6.7,0,1,7.7,0,0,1,0,1,London,4,2
Hotel 55,7.9,8.4,8.3,9.0,0,8.0,0,1,1,8.1,0,0,8.4,0,0,0,0,1,London,2,1
The Bull and The Hide,8.3,9.4,8.6,9.0,0,8.4,0,1,1,8.4,0,0,8.7,0,0,0,0,0,London,1,1
The Gateway Hotel,8.2,8.8,8.5,8.6,0,8.1,0,0,1,8.7,1,0,8.7,0,0,0,0,0,London,1,1
B&B Belgravia,7.7,9.4,8.0,8.7,0,7.6,0,0,1,7.7,0,0,8.0,0,0,1,1,0,London,0,3
The Brook Green Hotel,8.7,9.1,9.1,9.2,0,8.9,0,1,1,8.5,0,0,9.2,0,0,0,0,1,London,2,1
Coach & Horses Hotel,8.8,9.5,9.3,9.7,0,9.0,0,1,1,8.7,0,1,9.2,0,0,0,0,1,London,3,1
"St. Ermin's Hotel, Autograph Collection",9.1,9.6,9.5,9.6,1,9.2,0,1,1,8.5,1,1,9.6,0,0,1,1,1,London,4,4
DoubleTree by Hilton London Chelsea,7.8,8.2,8.2,8.8,1,7.8,0,1,1,7.9,1,1,8.2,0,0,0,1,1,London,4,3
St Giles London – A St Giles Hotel,6.8,9.3,7.1,7.9,0,6.8,0,1,1,7.0,0,1,7.0,0,0,0,1,1,London,3,2
Keystone House,8.0,9.4,8.3,8.6,0,8.1,0,1,1,8.3,0,0,8.6,0,0,0,0,0,London,1,1
Bedford Hotel,7.2,8.9,7.9,8.2,1,7.3,0,1,0,6.7,1,0,7.3,0,0,1,0,1,London,3,2
Avon Hotel,6.8,8.9,7.1,8.7,0,6.5,0,0,1,7.3,0,0,7.2,0,0,0,0,1,London,1,1
Canal View 1 Bed Apartment in Zone 1,9.6,10.0,10.0,9.5,0,10.0,0,0,1,9.5,0,0,10.0,0,0,0,0,0,London,0,1
AMANO Covent Garden,8.0,9.6,8.6,8.8,0,8.1,0,1,1,7.4,0,1,8.6,0,0,1,1,1,London,3,3
Admiral Hardy,8.7,9.6,9.3,9.3,0,8.8,0,1,1,8.5,0,0,9.3,0,0,0,0,0,London,1,1
President Hotel,7.2,9.1,7.8,8.4,1,7.4,0,1,1,6.8,1,0,7.6,0,0,0,0,0,London,2,2
Park Plaza Westminster Bridge London,8.3,9.5,8.7,8.6,1,8.5,1,1,1,7.9,1,1,8.7,0,1,0,1,1,London,6,3
DoubleTree by Hilton London Angel Kings Cross,7.9,8.7,8.4,8.5,1,8.1,0,1,1,7.8,1,1,8.4,0,0,0,1,1,London,4,3
The Mitre by Innkeeper's Collection,8.0,9.2,8.5,8.6,0,8.0,0,1,1,8.3,0,1,8.5,0,0,0,0,0,London,2,1
Grange Clarendon Hotel,7.0,8.9,7.6,8.0,0,6.9,0,0,1,7.0,0,1,7.6,0,0,0,0,1,London,2,1
Hotel 63,8.4,9.6,8.6,9.3,0,8.2,0,1,1,8.7,0,1,8.8,0,0,0,0,0,London,2,1
The Grand at Trafalgar Square,8.1,9.7,8.6,8.9,0,8.0,0,0,1,7.7,0,1,8.4,0,0,1,1,1,London,2,3
The Columbia,7.1,9.2,7.4,8.8,0,6.6,0,1,1,7.4,0,0,7.5,0,0,1,0,1,London,2,2
Beautiful Central Family Apartment for 6,9.1,8.3,9.1,9.4,0,9.0,0,0,1,9.1,0,1,9.1,0,0,0,0,0,London,1,1
COMO Metropolitan London,8.2,9.4,8.9,8.9,1,8.4,0,1,1,7.4,1,1,8.8,1,0,1,0,1,London,4,4
Stylotel,7.8,9.3,7.7,9.1,0,7.6,0,1,1,7.9,1,1,8.0,0,0,0,0,1,London,4,1
Assembly Covent Garden,8.0,9.7,8.4,8.9,0,7.6,0,1,1,7.8,0,1,8.4,0,0,0,1,0,London,2,2
Chelsea Bridge Apartments,7.3,8.2,8.0,8.0,0,7.5,0,0,1,7.5,0,1,8.0,0,0,0,1,1,London,2,2
"Holiday Inn London Kensington High St., an IHG Hotel",7.1,8.8,7.9,7.8,1,7.5,1,1,1,7.1,1,1,7.9,0,1,0,1,1,London,6,3
Hilton London Metropole,7.3,8.4,7.7,7.9,1,7.5,0,1,1,6.6,1,1,7.7,0,0,1,1,1,London,4,4
ibis London City - Shoreditch,8.0,8.9,8.2,8.9,1,8.0,0,1,1,7.9,0,1,8.2,0,0,1,0,1,London,3,3
Kensington Court by CAPITAL,7.1,9.4,7.6,6.8,0,7.1,0,0,1,7.2,0,1,7.4,0,0,0,0,1,London,2,1
Stayo Apartments Barking Wharf,8.5,7.8,9.0,8.2,0,8.9,0,1,1,8.6,0,1,9.0,0,0,0,0,0,London,2,1
Martel Guest House,8.1,8.9,8.5,8.8,0,8.0,0,0,1,8.5,1,0,8.5,0,0,0,0,1,London,2,1
"Knightsbridge Hotel, Firmdale Hotels",8.8,9.6,9.3,9.1,0,8.6,0,0,1,7.9,1,1,9.2,1,0,0,0,1,London,3,2
Mowbray Court Hotel,7.5,9.1,7.8,8.3,0,7.5,0,0,1,7.8,0,1,7.9,0,0,0,0,1,London,2,1
Studios2Let,7.7,9.3,7.8,8.3,1,7.6,0,0,1,8.0,0,1,8.0,0,0,0,0,1,London,2,2
The Rookery,9.2,9.3,9.5,9.7,0,9.1,0,1,1,8.3,0,0,9.5,0,0,0,0,1,London,2,1
Grange Beauchamp Hotel,7.2,8.9,7.8,8.2,0,7.0,0,0,1,7.1,0,1,7.8,0,0,0,0,1,London,2,1
Staycity Aparthotels Greenwich High Road,8.5,8.8,8.6,9.3,1,8.6,0,0,1,8.6,1,1,8.6,0,0,0,1,0,London,2,3
Treehouse Hotel London,8.7,9.6,9.4,9.2,0,8.9,0,1,1,8.0,0,1,9.3,0,0,1,0,1,London,3,2
Canopy by Hilton London City,8.8,9.0,9.2,9.1,1,8.9,0,1,1,8.1,0,1,9.2,0,0,1,1,1,London,3,4
The One Tun Pub & Rooms,8.8,9.2,9.3,9.5,0,9.0,0,1,1,8.6,1,0,9.3,0,0,0,0,1,London,3,1
The Kings Arms,8.3,8.9,8.4,9.4,0,8.0,1,0,1,8.9,0,0,8.6,0,0,0,0,0,London,1,1
The Ship Rooms,8.6,9.0,9.0,9.4,0,8.6,0,0,1,8.9,0,0,9.0,0,0,0,0,0,London,0,1
Hilton London Kensington Hotel,7.0,8.3,7.4,8.3,1,7.1,0,1,1,6.8,1,1,7.4,0,0,1,1,1,London,4,4
"Kimpton - Fitzroy London, an IHG Hotel",8.8,9.4,9.4,9.2,1,9.0,0,1,0,8.1,0,1,9.4,1,0,1,0,1,London,3,3
Regency House Hotel,7.4,9.0,7.6,8.5,0,7.3,0,0,1,7.6,0,0,7.9,0,0,0,0,0,London,0,1
DoubleTree by Hilton London - Hyde Park,7.7,9.0,8.3,8.6,1,7.8,0,1,1,7.5,1,1,8.2,0,0,0,1,1,London,4,3
Marlin Aldgate Tower Bridge,7.4,8.2,7.7,8.1,1,7.4,0,0,1,7.1,0,1,7.5,0,0,0,0,0,London,1,2
"The Clermont London, Victoria",8.9,9.6,9.3,9.3,1,8.9,0,1,1,8.4,0,1,9.3,0,0,0,0,1,London,3,2
London Bridge Hotel,8.6,9.5,9.1,9.3,0,8.6,0,1,1,8.1,0,1,9.0,0,1,0,0,1,London,4,1
55 by Le Mirage,8.6,9.2,9.0,9.0,0,8.5,0,0,1,8.3,0,1,9.1,0,0,0,0,1,London,2,1
2-Bedroom Victorian Apartment in Kensington,10.0,10.0,10.0,10.0,0,10.0,0,0,1,10.0,0,0,10.0,0,0,0,0,0,London,0,1
Prince Arthur,7.2,8.8,7.4,8.6,0,7.1,0,1,1,7.9,0,0,7.7,0,0,0,0,0,London,1,1
Merit Kensington Hotel,8.3,9.2,8.9,8.6,0,8.3,0,0,1,8.2,0,1,8.8,0,0,0,0,1,London,2,1
The Chilworth London Paddington,7.5,8.9,8.2,8.6,1,7.7,1,1,1,7.5,1,1,8.1,0,0,0,0,1,London,5,2
Bob W Commercial House,9.1,9.5,9.8,9.4,0,9.1,0,0,1,9.2,0,0,9.5,0,0,0,0,0,London,0,1
Rhodes Hotel,7.5,9.3,7.7,8.9,0,7.2,0,0,1,7.7,0,0,7.8,0,0,0,0,1,London,1,1
"Mandarin Oriental Hyde Park, London",9.1,9.7,9.5,9.5,1,9.3,1,1,1,8.3,1,1,9.5,1,1,1,0,1,London,6,4
The Brownswood,9.4,8.9,9.7,9.8,0,9.5,0,1,1,9.2,0,0,9.8,0,0,0,0,0,London,1,1
Thistle Holborn,8.1,9.3,8.5,8.9,1,8.1,0,1,1,7.8,0,1,8.5,0,0,0,0,1,London,3,2
Hilton London Paddington,7.3,9.1,8.0,7.9,1,7.3,0,1,1,6.8,1,1,7.9,0,0,0,1,1,London,4,3
"Hotel Indigo - London - 1 Leicester Square, an IHG Hotel",7.7,9.5,8.4,8.4,1,7.7,0,1,1,7.1,0,1,8.3,0,0,0,1,1,London,3,3
The Ampersand Hotel,8.9,9.6,9.4,9.4,0,8.9,0,1,1,8.5,1,1,9.3,0,0,1,0,1,London,4,2
La Gaffe - Restaurant with Rooms,8.3,9.3,8.4,9.4,0,8.1,0,1,1,8.7,0,0,8.6,0,0,0,0,1,London,2,1
Seven Dials Hotel,7.5,9.7,7.7,8.8,0,7.1,0,0,1,7.9,0,1,7.8,0,0,0,0,0,London,1,1
The Green W7,8.5,8.2,8.7,9.2,0,8.3,0,1,1,9.0,0,0,8.9,0,0,0,0,0,London,1,1
ibis London Shepherds Bush - Hammersmith,8.0,8.8,8.2,8.9,1,7.9,0,1,1,7.9,1,1,8.4,0,1,1,0,1,London,5,3
The Exhibitionist Hotel,8.4,9.4,8.8,9.1,0,8.4,0,1,1,8.0,0,1,8.8,0,0,0,0,1,London,3,1
DoubleTree by Hilton Hotel London - Tower of London,7.6,9.0,8.2,8.5,1,7.7,0,1,1,7.4,1,1,8.2,0,0,1,1,1,London,4,4
The Judd Hotel,7.6,9.0,8.0,8.5,0,7.5,0,0,1,7.6,0,0,8.4,0,0,0,0,1,London,1,1
"Club Quarters Hotel Covent Garden Holborn, London",8.1,9.4,8.6,8.9,0,8.0,0,0,1,7.8,0,1,8.5,0,0,1,0,1,London,2,2
1 Bedroom Stylish Apartment near Regents Park FREE WIFI & AIRCON by City Stay London,8.6,9.1,8.9,9.0,0,8.6,0,0,1,8.3,1,1,8.8,0,0,0,1,1,London,3,2
"Holiday Inn London - Regent's Park, an IHG Hotel",7.8,8.9,8.1,8.9,1,7.7,0,1,1,7.5,1,1,8.1,0,0,0,1,1,London,4,3
Sanderson London,8.2,9.4,8.9,8.9,1,8.1,0,1,1,7.8,0,1,8.8,1,0,1,0,0,London,2,4
The Goodenough Hotel London,8.1,8.8,8.8,8.8,0,8.2,0,1,1,7.9,0,1,8.9,0,0,0,0,1,London,3,1
Shoreditch Place,6.7,8.3,7.4,7.4,0,7.0,0,0,1,7.2,1,1,7.5,0,0,0,0,0,London,2,1
The Beaufort,7.3,9.3,8.0,8.6,0,7.0,0,0,1,7.1,1,1,7.8,0,0,0,0,1,London,3,1
Morgan Hotel,7.1,9.2,7.8,8.6,0,7.0,0,0,1,7.5,0,0,7.9,0,0,0,0,1,London,1,1
"100 Queen’s Gate Hotel London, Curio Collection by Hilton",7.8,9.2,8.5,8.5,1,8.1,0,1,1,7.6,0,1,8.4,0,0,0,0,1,London,3,2
The Westbridge Hotel Stratford,8.2,8.6,8.6,9.2,0,8.2,0,1,1,8.2,0,1,8.7,0,0,0,0,1,London,3,1
Hilton London Hyde Park,7.4,9.0,8.0,8.5,1,7.4,0,1,1,7.1,0,1,7.8,0,0,0,1,1,London,3,3
Blakemore Hyde Park,8.2,8.8,8.8,8.5,0,8.2,0,1,1,8.3,0,1,8.7,0,0,0,0,1,London,3,1
DoubleTree by Hilton London Ealing,7.7,8.3,8.3,8.6,1,7.9,0,1,1,7.4,1,1,8.4,0,0,0,1,1,London,4,3
"Hotel Indigo London Tower Hill, an IHG Hotel",8.5,9.1,9.1,9.3,1,8.4,0,0,1,8.1,0,1,9.1,0,0,0,1,1,London,2,3
Sonder Edgware Road,7.3,8.5,8.0,8.1,0,7.5,0,0,1,7.2,0,1,7.9,0,0,0,0,0,London,1,1
The W14 Hotel,7.5,8.5,7.9,8.2,0,7.6,0,1,1,7.9,1,0,7.9,0,0,0,0,1,London,3,1
Columbus Hotel,7.3,9.1,7.4,8.8,0,6.8,0,0,1,7.5,1,0,7.7,0,0,0,0,0,London,1,1
"Lost Property St Pauls London, Curio Collection By Hilton",8.6,9.5,9.3,9.0,1,8.8,0,1,1,7.8,0,1,9.1,0,0,0,1,1,London,3,3
"Holiday Inn London Oxford Circus, an IHG Hotel",6.7,9.0,7.3,8.0,1,6.6,0,1,1,6.4,0,1,7.2,0,0,0,0,1,London,3,2
Romantic Bungalow in Notting Hill,9.8,9.9,9.9,10.0,0,9.9,0,0,1,9.8,0,0,9.9,0,0,1,0,1,London,1,2
Peckham Rooms Hotel,7.0,7.6,7.5,8.3,0,7.2,0,0,1,7.4,0,0,7.6,0,0,0,0,0,London,0,1
"Page8, Page Hotels",9.0,9.8,9.4,9.5,0,8.9,0,1,1,8.6,0,1,9.3,0,0,0,1,1,London,3,2
Hilton London Euston,7.2,8.8,8.0,7.8,1,7.2,0,1,1,6.8,0,1,7.9,0,0,0,0,0,London,2,2
Sofitel London St James,9.2,9.8,9.6,9.6,1,9.2,0,1,1,8.3,1,1,9.5,1,0,1,1,1,London,4,5
"Holiday Inn London West, an IHG Hotel",7.9,8.0,8.2,8.7,1,8.0,1,1,1,7.8,1,1,8.2,0,0,0,0,1,London,5,2
Thistle London Hyde Park Kensington Gardens,7.2,8.7,7.8,8.0,1,7.3,0,1,1,7.0,1,1,7.8,0,0,0,1,1,London,4,3
Canary Wharf - Luxury Apartments,8.9,9.2,9.1,9.3,0,9.1,0,0,1,8.8,1,1,9.2,0,0,0,1,0,London,2,2
Luxury Piccadilly circus Studio,6.5,8.8,6.7,6.7,0,6.7,0,0,1,6.3,0,1,6.7,0,0,0,0,0,London,1,1
"Holiday Inn London Camden Lock, an IHG Hotel",8.1,9.4,8.7,8.8,1,8.2,0,1,1,7.6,1,1,8.7,0,0,0,0,1,London,4,2
Hilton London Bankside,8.9,9.0,9.5,9.3,1,9.1,1,1,1,8.4,1,1,9.5,1,0,0,1,1,London,5,4
Kensal Lodge Guest House,8.0,8.6,8.4,8.2,0,8.1,0,0,1,8.3,0,0,8.6,0,0,0,0,0,London,0,1
South Kensington by CAPITAL,7.4,8.0,8.0,6.3,0,7.7,0,0,1,7.5,0,0,8.2,0,0,0,0,0,London,0,1
"Bankside Hotel, Autograph Collection",9.4,9.2,9.7,9.7,1,9.4,0,1,1,8.8,1,1,9.7,0,0,1,1,1,London,4,4
Clover Court,8.4,8.9,8.8,8.5,0,8.7,0,0,1,8.4,0,1,8.8,0,0,0,0,1,London,2,1
Boka Hotel,6.3,8.8,6.5,7.7,0,6.3,0,0,1,7.0,0,1,6.3,0,0,0,0,1,London,2,1
Pods of Kings Cross 4,9.0,9.2,9.2,9.5,0,9.2,0,0,1,9.6,0,0,8.8,0,0,0,0,0,London,0,1
Doubletree By Hilton London - Greenwich,8.2,8.4,8.9,9.0,1,8.5,0,1,1,8.1,1,1,8.9,0,0,0,0,1,London,4,2
